kanji,hirakana
日馬富士公平,はるまふじ こうへい
白鵬翔,はくほう しょう
豪栄道豪太郎,ごうえいどう ごうたろう
琴奨菊和弘,ことしょうぎく かずひろ
高安晃,たかやす あきら
御嶽海久司,みたけうみ ひさし
栃煌山雄一郎,とちおうざん ゆういちろう
魁聖一郎,かいせい いちろう
遠藤聖大,えんどう しょうた
琴勇輝一巖,ことゆうき かずよし
松鳳山裕也,しょうほうざん ゆうや
錦木徹也,にしきぎ てつや
豪風旭,たけかぜ あきら
佐田の海貴士,さだのうみ たかし
妙義龍泰成,みょうぎりゅう やすなり
千代翔馬富士雄,ちよしょうま ふじお
旭秀鵬滉規,きょくしゅうほう こうき
大翔丸翔伍,だいしょうまる しょうご
英乃海拓也,ひでのうみ たくや
蒼国来栄吉,そうこくらい えいきち
石浦将勝,いしうら まさかつ
臥牙丸勝,ががまる まさる
鶴竜力三郎,かくりゅう りきさぶろう
稀勢の里寛,きせのさと ゆたか
照ノ富士春雄,てるのふじ はるお
隠岐の海歩,おきのうみ あゆみ
玉鷲一朗,たまわし いちろう
碧山亘右,あおいやま こうすけ
嘉風雅継,よしかぜ まさつぐ
正代直也,しょうだい なおや
千代の国憲輝,ちよのくに としき
宝富士大輔,たからふじ だいすけ
栃ノ心剛,とちのしん つよし
貴ノ岩義司,たかのいわ よしもり
勢翔太,いきおい しょうた
輝大士,かがやき たいし
荒鷲毅,あらわし つよし
北勝富士大輝,ほくとふじ だいき
千代鳳祐樹,ちよおおとり　ゆうき
逸ノ城駿,いちのじょう たかし
千代大龍秀政,ちよたいりゅう ひでまさ
豊響隆太,とよひびき りゅうた
天風浩一,あまかぜ こういち
千代皇王代仁,ちよおう みよひと
千代ノ皇王代仁,ちよのおう みよひと
佐藤貴信,さとう たかのぶ
大栄翔勇人,だいえいしょう はやと
剣翔桃太郎,つるぎしょう ももたろう
東龍強,あずまりゅう つよし
旭日松広太,あさひしょう こうた
誉富士歓之,ほまれふじ よしゆき
朝赤龍太郎,あさせきりゅう たろう
山口雅弘,だいきほう まさひろ
青狼武士,せいろう たけし
小柳亮太,おやなぎ りょうた
佐田の富士哲博,さだのふじ あきひろ
明生力,めいせい ちから
千代丸一樹,ちよまる かずき
琴恵光充憲,ことえこう みつのり
徳勝龍誠,とくしょうりゅう まこと
阿武咲奎也,おうのしょう ふみや
宇良和輝,うら かずき
阿夢露光大,あむうる みつひろ
安美錦竜児,あみにしき りゅうじ
北はり磨聖也,きたはりま せいや
北太樹明義,きたたいき あけよし
旭大星託也,きょくたいせい たくや
大翔鵬清洋,だいしょうほう きよひろ
竜電剛至,りゅうでん ごうし
里山浩作,さとやま こうさく
大砂嵐金崇郎,おおすなあらし きんたろう
大砂嵐金太郎,おおすなあらし きんたろう
貴景勝光信,たかけいしょう みつのぶ
力真樹,りきしん たつき
照強翔輝,てるつよし しょうき
大奄美元規,だいあまみ げんき
若乃島史也,わかのしま ふみや
希善龍貴司,きぜんりゅう たかし
朝乃山英樹,あさのやま ひでき
富士東和佳,ふじあずま かずよし
豊山亮太,おやなぎ りょうた
栃ノ心剛史,とちのしん つよし
貴源治賢,たかげんじ さとし
阿炎政虎,あび まさとら
翔猿正也,とびざる まさや
天風健人,あまかぜ けんと
矢後太規,やご たかのり
大成道喜悌,だいせいどう よしとも
隆の勝伸明,ますのしょう のぶあき
栃飛龍幸也,とちひりゅう ゆきや
水戸龍聖之,みとりゅう たかゆき
天空海翔馬,あくあ しょうま
志摩ノ海航洋,しまのうみ こうよう
明瀬山光彦,あきせやま みつひこ
貴公俊剛,たかよしとし つよし
炎鵬晃,えんほう あきら
白鷹山亨将,はくようざん りょうすけ
朝弁慶大吉,あさべんけい だいきち
若隆景渥,わかたかかげ あつし
千代の海明太郎,ちよのうみ めいたろう
美ノ海義久,ちゅらのうみ よしひさ
常幸龍貴之,じょうこうりゅう たかゆき
豊ノ島大樹,とよのしま だいき
極芯道貴裕,ごくしんどう たかひろ
友風勇太,ともかぜ ゆうた
若元春港,わかもとはる みなと
貴ノ富士三造,たかのふじ さんぞう
霧馬山鐵雄,きりばやま てつお
彩尊光,いろどり たかてる
一山本大生,いちやまもと だいき
琴ノ若傑太,ことのわか まさひろ
木崎海伸之助,きざきうみ しんのすけ
朝玉勢一嗣磨,あさぎょくせい かづま
魁勝旦祈,かいしょう あさき
豊昇龍智勝,ほうしょうりゅう ともかつ
琴勝峰吉成,ことしょうほう よしなり
魁猛,さきがけ たけし
翠富士一成,みどりふじ かずなり
王輝嘉助,おうき かすけ 
錦富士隆聖,にしきふじ りゅうせい
貴源治賢士,たかげんじ さとし
石浦鹿介,いしうら しかのすけ
王鵬幸之介,おうほう こうのすけ
竜虎川上,りゅうこう かわかみ
東白龍雅士,とうはくりゅう まさひと 
